,C 1 Comdty,CL1 Comdty,GC1 Comdty,HG1 Comdty,NG1 Comdty,S 1 Comdty,SI1 Comdty
2023-05-12,0.0,-2.0,0.0,0.0,-4.0,3.0,0.0
2023-05-15,-5.0,-1.0,0.0,2.0,0.0,3.0,0.0
2023-05-16,-5.0,-1.0,0.0,2.0,0.0,3.0,0.0
2023-05-17,-5.0,-1.0,0.0,2.0,0.0,3.0,0.0
2023-05-18,-5.0,-1.0,0.0,2.0,0.0,3.0,0.0
2023-05-19,-5.0,-1.0,0.0,2.0,0.0,3.0,0.0
2023-05-22,-5.0,-1.0,0.0,1.0,-2.0,3.0,0.0
2023-05-23,-5.0,-1.0,0.0,1.0,-2.0,3.0,0.0
2023-05-24,-5.0,-1.0,0.0,1.0,-2.0,3.0,0.0
2023-05-25,-5.0,-1.0,0.0,1.0,-2.0,3.0,0.0
2023-05-26,-5.0,-1.0,0.0,1.0,-2.0,3.0,0.0
2023-05-29,-7.0,0.0,0.0,0.0,-4.0,3.0,0.0
2023-05-30,-7.0,0.0,0.0,0.0,-4.0,3.0,0.0
2023-05-31,-7.0,0.0,0.0,0.0,-4.0,3.0,0.0
2023-06-01,-7.0,0.0,0.0,0.0,-4.0,3.0,0.0
2023-06-02,-7.0,0.0,0.0,0.0,-4.0,3.0,0.0
2023-06-05,0.0,2.0,0.0,-2.0,3.0,3.0,0.0
2023-06-06,0.0,2.0,0.0,-2.0,3.0,3.0,0.0
2023-06-07,0.0,2.0,0.0,-2.0,3.0,3.0,0.0
2023-06-08,0.0,2.0,0.0,-2.0,3.0,3.0,0.0
2023-06-09,0.0,2.0,0.0,-2.0,3.0,3.0,0.0
2023-06-12,5.0,-2.0,0.0,-2.0,-2.0,2.0,0.0
2023-06-13,5.0,-2.0,0.0,-2.0,-2.0,2.0,0.0
2023-06-14,5.0,-2.0,0.0,-2.0,-2.0,2.0,0.0
2023-06-15,5.0,-2.0,0.0,-2.0,-2.0,2.0,0.0
2023-06-16,5.0,-2.0,0.0,-2.0,-2.0,2.0,0.0
2023-06-19,5.0,0.0,0.0,-2.0,3.0,-2.0,0.0
2023-06-20,5.0,0.0,0.0,-2.0,3.0,-2.0,0.0
2023-06-21,5.0,0.0,0.0,-2.0,3.0,-2.0,0.0
2023-06-22,5.0,0.0,0.0,-2.0,3.0,-2.0,0.0
2023-06-23,5.0,0.0,0.0,-2.0,3.0,-2.0,0.0
2023-06-26,3.0,0.0,0.0,-2.0,3.0,2.0,0.0
2023-06-27,3.0,0.0,0.0,-2.0,3.0,2.0,0.0
2023-06-28,3.0,0.0,0.0,-2.0,3.0,2.0,0.0
2023-06-29,3.0,0.0,0.0,-2.0,3.0,2.0,0.0
2023-06-30,3.0,0.0,0.0,-2.0,3.0,2.0,0.0
2023-07-03,0.0,0.0,0.0,-2.0,3.0,2.0,0.0
2023-07-04,0.0,0.0,0.0,-2.0,3.0,2.0,0.0
2023-07-05,0.0,0.0,0.0,-2.0,3.0,2.0,0.0
2023-07-06,0.0,0.0,0.0,-2.0,3.0,2.0,0.0
2023-07-07,0.0,0.0,0.0,-2.0,3.0,2.0,0.0
2023-07-10,0.0,0.0,0.0,0.0,9.0,3.0,0.0
2023-07-11,0.0,0.0,0.0,0.0,9.0,3.0,0.0
2023-07-12,0.0,0.0,0.0,0.0,9.0,3.0,0.0
2023-07-13,0.0,0.0,0.0,0.0,9.0,3.0,0.0
2023-07-14,0.0,0.0,0.0,0.0,9.0,3.0,0.0
2023-07-17,3.0,2.0,0.0,-2.0,0.0,-2.0,0.0
2023-07-18,3.0,2.0,0.0,-2.0,0.0,-2.0,0.0
2023-07-19,3.0,2.0,0.0,-2.0,0.0,-2.0,0.0
2023-07-20,3.0,2.0,0.0,-2.0,0.0,-2.0,0.0
2023-07-21,3.0,2.0,0.0,-2.0,0.0,-2.0,0.0
2023-07-24,5.0,0.0,0.0,-2.0,5.0,0.0,0.0
2023-07-25,5.0,0.0,0.0,-2.0,5.0,0.0,0.0
2023-07-26,5.0,0.0,0.0,-2.0,5.0,0.0,0.0
2023-07-27,5.0,0.0,0.0,-2.0,5.0,0.0,0.0
2023-07-28,5.0,0.0,0.0,-2.0,5.0,0.0,0.0
2023-07-31,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2023-08-01,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2023-08-02,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2023-08-03,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2023-08-04,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2023-08-07,0.0,0.0,0.0,-2.0,4.0,3.0,0.0
2023-08-08,0.0,0.0,0.0,-2.0,4.0,3.0,0.0
2023-08-09,0.0,0.0,0.0,-2.0,4.0,3.0,0.0
2023-08-10,0.0,0.0,0.0,-2.0,4.0,3.0,0.0
2023-08-11,0.0,0.0,0.0,-2.0,4.0,3.0,0.0
2023-08-14,-3.0,-2.0,0.0,-2.0,2.0,2.0,0.0
2023-08-15,-3.0,-2.0,0.0,-2.0,2.0,2.0,0.0
2023-08-16,-3.0,-2.0,0.0,-2.0,2.0,2.0,0.0
2023-08-17,-3.0,-2.0,0.0,-2.0,2.0,2.0,0.0
2023-08-18,-3.0,-2.0,0.0,-2.0,2.0,2.0,0.0
2023-08-21,8.0,2.0,0.0,0.0,0.0,-3.0,0.0
2023-08-22,8.0,2.0,0.0,0.0,0.0,-3.0,0.0
2023-08-23,8.0,2.0,0.0,0.0,0.0,-3.0,0.0
2023-08-24,8.0,2.0,0.0,0.0,0.0,-3.0,0.0
2023-08-25,8.0,2.0,0.0,0.0,0.0,-3.0,0.0
2023-08-28,-5.0,1.0,0.0,2.0,-2.0,-2.0,0.0
2023-08-29,-5.0,1.0,0.0,2.0,-2.0,-2.0,0.0
2023-08-30,-5.0,1.0,0.0,2.0,-2.0,-2.0,0.0
2023-08-31,-5.0,1.0,0.0,2.0,-2.0,-2.0,0.0
2023-09-01,-5.0,1.0,0.0,2.0,-2.0,-2.0,0.0
2023-09-04,0.0,3.0,0.0,-2.0,0.0,0.0,0.0
2023-09-05,0.0,3.0,0.0,-2.0,0.0,0.0,0.0
2023-09-06,0.0,3.0,0.0,-2.0,0.0,0.0,0.0
2023-09-07,0.0,3.0,0.0,-2.0,0.0,0.0,0.0
2023-09-08,0.0,3.0,0.0,-2.0,0.0,0.0,0.0
2023-09-11,6.0,2.0,0.0,-2.0,-3.0,0.0,0.0
2023-09-12,6.0,2.0,0.0,-2.0,-3.0,0.0,0.0
2023-09-13,6.0,2.0,0.0,-2.0,-3.0,0.0,0.0
2023-09-14,6.0,2.0,0.0,-2.0,-3.0,0.0,0.0
2023-09-15,6.0,2.0,0.0,-2.0,-3.0,0.0,0.0
2023-09-18,0.0,0.0,0.0,-2.0,-3.0,-3.0,0.0
2023-09-19,0.0,0.0,0.0,-2.0,-3.0,-3.0,0.0
2023-09-20,0.0,0.0,0.0,-2.0,-3.0,-3.0,0.0
2023-09-21,0.0,0.0,0.0,-2.0,-3.0,-3.0,0.0
2023-09-22,0.0,0.0,0.0,-2.0,-3.0,-3.0,0.0
2023-09-25,0.0,0.0,0.0,-2.0,0.0,-4.0,0.0
2023-09-26,0.0,0.0,0.0,-2.0,0.0,-4.0,0.0
2023-09-27,0.0,0.0,0.0,-2.0,0.0,-4.0,0.0
2023-09-28,0.0,0.0,0.0,-2.0,0.0,-4.0,0.0
2023-09-29,0.0,0.0,0.0,-2.0,0.0,-4.0,0.0
2023-10-02,0.0,0.0,0.0,-2.0,0.0,-4.0,0.0
2023-10-03,0.0,0.0,0.0,-2.0,0.0,-4.0,0.0
2023-10-04,0.0,0.0,0.0,-2.0,0.0,-4.0,0.0
2023-10-05,0.0,0.0,0.0,-2.0,0.0,-4.0,0.0
2023-10-06,0.0,0.0,0.0,-2.0,0.0,-4.0,0.0
2023-10-09,0.0,1.0,0.0,-2.0,0.0,4.0,0.0
2023-10-10,0.0,1.0,0.0,-2.0,0.0,4.0,0.0
2023-10-11,0.0,1.0,0.0,-2.0,0.0,4.0,0.0
2023-10-12,0.0,1.0,0.0,-2.0,0.0,4.0,0.0
2023-10-13,0.0,1.0,0.0,-2.0,0.0,4.0,0.0
2023-10-16,6.0,-1.0,0.0,-2.0,0.0,3.0,0.0
2023-10-17,6.0,-1.0,0.0,-2.0,0.0,3.0,0.0
2023-10-18,6.0,-1.0,0.0,-2.0,0.0,3.0,0.0
2023-10-19,6.0,-1.0,0.0,-2.0,0.0,3.0,0.0
2023-10-20,6.0,-1.0,0.0,-2.0,0.0,3.0,0.0
2023-10-23,5.0,-1.0,0.0,-2.0,2.0,2.0,0.0
2023-10-24,5.0,-1.0,0.0,-2.0,2.0,2.0,0.0
2023-10-25,5.0,-1.0,0.0,-2.0,2.0,2.0,0.0
2023-10-26,5.0,-1.0,0.0,-2.0,2.0,2.0,0.0
2023-10-27,5.0,-1.0,0.0,-2.0,2.0,2.0,0.0
2023-10-30,8.0,-1.0,0.0,0.0,2.0,3.0,0.0
2023-10-31,8.0,-1.0,0.0,0.0,2.0,3.0,0.0
2023-11-01,8.0,-1.0,0.0,0.0,2.0,3.0,0.0
2023-11-02,8.0,-1.0,0.0,0.0,2.0,3.0,0.0
2023-11-03,8.0,-1.0,0.0,0.0,2.0,3.0,0.0
2023-11-06,6.0,1.0,0.0,2.0,0.0,2.0,0.0
2023-11-07,6.0,1.0,0.0,2.0,0.0,2.0,0.0
2023-11-08,6.0,1.0,0.0,2.0,0.0,2.0,0.0
2023-11-09,6.0,1.0,0.0,2.0,0.0,2.0,0.0
2023-11-10,6.0,1.0,0.0,2.0,0.0,2.0,0.0
2023-11-13,9.0,-1.0,0.0,0.0,0.0,3.0,0.0
2023-11-14,9.0,-1.0,0.0,0.0,0.0,3.0,0.0
2023-11-15,9.0,-1.0,0.0,0.0,0.0,3.0,0.0
2023-11-16,9.0,-1.0,0.0,0.0,0.0,3.0,0.0
2023-11-17,9.0,-1.0,0.0,0.0,0.0,3.0,0.0
2023-11-20,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2023-11-21,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2023-11-22,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2023-11-23,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2023-11-24,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2023-11-27,10.0,0.0,0.0,0.0,0.0,3.0,0.0
2023-11-28,10.0,0.0,0.0,0.0,0.0,3.0,0.0
2023-11-29,10.0,0.0,0.0,0.0,0.0,3.0,0.0
2023-11-30,10.0,0.0,0.0,0.0,0.0,3.0,0.0
2023-12-01,10.0,0.0,0.0,0.0,0.0,3.0,0.0
2023-12-04,-7.0,-1.0,0.0,2.0,-3.0,0.0,0.0
2023-12-05,-7.0,-1.0,0.0,2.0,-3.0,0.0,0.0
2023-12-06,-7.0,-1.0,0.0,2.0,-3.0,0.0,0.0
2023-12-07,-7.0,-1.0,0.0,2.0,-3.0,0.0,0.0
2023-12-08,-7.0,-1.0,0.0,2.0,-3.0,0.0,0.0
2023-12-11,0.0,0.0,0.0,2.0,-5.0,3.0,0.0
2023-12-12,0.0,0.0,0.0,2.0,-5.0,3.0,0.0
2023-12-13,0.0,0.0,0.0,2.0,-5.0,3.0,0.0
2023-12-14,0.0,0.0,0.0,2.0,-5.0,3.0,0.0
2023-12-15,0.0,0.0,0.0,2.0,-5.0,3.0,0.0
2023-12-18,-9.0,0.0,0.0,-1.0,-3.0,2.0,0.0
2023-12-19,-9.0,0.0,0.0,-1.0,-3.0,2.0,0.0
2023-12-20,-9.0,0.0,0.0,-1.0,-3.0,2.0,0.0
2023-12-21,-9.0,0.0,0.0,-1.0,-3.0,2.0,0.0
2023-12-22,-9.0,0.0,0.0,-1.0,-3.0,2.0,0.0
2023-12-25,-9.0,0.0,0.0,-1.0,2.0,3.0,0.0
2023-12-26,-9.0,0.0,0.0,-1.0,2.0,3.0,0.0
2023-12-27,-9.0,0.0,0.0,-1.0,2.0,3.0,0.0
2023-12-28,-9.0,0.0,0.0,-1.0,2.0,3.0,0.0
2023-12-29,-9.0,0.0,0.0,-1.0,2.0,3.0,0.0
2024-01-01,-9.0,-1.0,0.0,0.0,2.0,3.0,0.0
2024-01-02,-9.0,-1.0,0.0,0.0,2.0,3.0,0.0
2024-01-03,-9.0,-1.0,0.0,0.0,2.0,3.0,0.0
2024-01-04,-9.0,-1.0,0.0,0.0,2.0,3.0,0.0
2024-01-05,-9.0,-1.0,0.0,0.0,2.0,3.0,0.0
2024-01-08,-7.0,1.0,0.0,1.0,2.0,-3.0,0.0
2024-01-09,-7.0,1.0,0.0,1.0,2.0,-3.0,0.0
2024-01-10,-7.0,1.0,0.0,1.0,2.0,-3.0,0.0
2024-01-11,-7.0,1.0,0.0,1.0,2.0,-3.0,0.0
2024-01-12,-7.0,1.0,0.0,1.0,2.0,-3.0,0.0
2024-01-15,-9.0,1.0,0.0,2.0,2.0,0.0,0.0
2024-01-16,-9.0,1.0,0.0,2.0,2.0,0.0,0.0
2024-01-17,-9.0,1.0,0.0,2.0,2.0,0.0,0.0
2024-01-18,-9.0,1.0,0.0,2.0,2.0,0.0,0.0
2024-01-19,-9.0,1.0,0.0,2.0,2.0,0.0,0.0
2024-01-22,10.0,0.0,0.0,0.0,3.0,0.0,0.0
2024-01-23,10.0,0.0,0.0,0.0,3.0,0.0,0.0
2024-01-24,10.0,0.0,0.0,0.0,3.0,0.0,0.0
2024-01-25,10.0,0.0,0.0,0.0,3.0,0.0,0.0
2024-01-26,10.0,0.0,0.0,0.0,3.0,0.0,0.0
2024-01-29,10.0,1.0,0.0,2.0,1.0,0.0,0.0
2024-01-30,10.0,1.0,0.0,2.0,1.0,0.0,0.0
2024-01-31,10.0,1.0,0.0,2.0,1.0,0.0,0.0
2024-02-01,10.0,1.0,0.0,2.0,1.0,0.0,0.0
2024-02-02,10.0,1.0,0.0,2.0,1.0,0.0,0.0
2024-02-05,-8.0,-1.0,0.0,2.0,0.0,-3.0,0.0
2024-02-06,-8.0,-1.0,0.0,2.0,0.0,-3.0,0.0
2024-02-07,-8.0,-1.0,0.0,2.0,0.0,-3.0,0.0
2024-02-08,-8.0,-1.0,0.0,2.0,0.0,-3.0,0.0
2024-02-09,-8.0,-1.0,0.0,2.0,0.0,-3.0,0.0
2024-02-12,-11.0,2.0,0.0,0.0,0.0,-3.0,0.0
2024-02-13,-11.0,2.0,0.0,0.0,0.0,-3.0,0.0
2024-02-14,-11.0,2.0,0.0,0.0,0.0,-3.0,0.0
2024-02-15,-11.0,2.0,0.0,0.0,0.0,-3.0,0.0
2024-02-16,-11.0,2.0,0.0,0.0,0.0,-3.0,0.0
2024-02-19,-10.0,1.0,0.0,0.0,-3.0,-3.0,0.0
2024-02-20,-10.0,1.0,0.0,0.0,-3.0,-3.0,0.0
2024-02-21,-10.0,1.0,0.0,0.0,-3.0,-3.0,0.0
2024-02-22,-10.0,1.0,0.0,0.0,-3.0,-3.0,0.0
2024-02-23,-10.0,1.0,0.0,0.0,-3.0,-3.0,0.0
2024-02-26,8.0,-1.0,0.0,2.0,-2.0,-3.0,0.0
2024-02-27,8.0,-1.0,0.0,2.0,-2.0,-3.0,0.0
2024-02-28,8.0,-1.0,0.0,2.0,-2.0,-3.0,0.0
2024-02-29,8.0,-1.0,0.0,2.0,-2.0,-3.0,0.0
2024-03-01,8.0,-1.0,0.0,2.0,-2.0,-3.0,0.0
2024-03-04,0.0,0.0,0.0,0.0,5.0,-4.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,5.0,-4.0,0.0
2024-03-06,0.0,0.0,0.0,0.0,5.0,-4.0,0.0
2024-03-07,0.0,0.0,0.0,0.0,5.0,-4.0,0.0
2024-03-08,0.0,0.0,0.0,0.0,5.0,-4.0,0.0
2024-03-11,0.0,-2.0,0.0,2.0,2.0,3.0,0.0
2024-03-12,0.0,-2.0,0.0,2.0,2.0,3.0,0.0
2024-03-13,0.0,-2.0,0.0,2.0,2.0,3.0,0.0
2024-03-14,0.0,-2.0,0.0,2.0,2.0,3.0,0.0
2024-03-15,0.0,-2.0,0.0,2.0,2.0,3.0,0.0
2024-03-18,-11.0,0.0,0.0,-2.0,0.0,0.0,0.0
2024-03-19,-11.0,0.0,0.0,-2.0,0.0,0.0,0.0
2024-03-20,-11.0,0.0,0.0,-2.0,0.0,0.0,0.0
2024-03-21,-11.0,0.0,0.0,-2.0,0.0,0.0,0.0
2024-03-22,-11.0,0.0,0.0,-2.0,0.0,0.0,0.0
2024-03-25,0.0,3.0,0.0,-2.0,0.0,0.0,0.0
2024-03-26,0.0,3.0,0.0,-2.0,0.0,0.0,0.0
2024-03-27,0.0,3.0,0.0,-2.0,0.0,0.0,0.0
2024-03-28,0.0,3.0,0.0,-2.0,0.0,0.0,0.0
2024-03-29,0.0,3.0,0.0,-2.0,0.0,0.0,0.0
2024-04-01,8.0,2.0,0.0,-2.0,-4.0,0.0,0.0
2024-04-02,8.0,2.0,0.0,-2.0,-4.0,0.0,0.0
2024-04-03,8.0,2.0,0.0,-2.0,-4.0,0.0,0.0
2024-04-04,8.0,2.0,0.0,-2.0,-4.0,0.0,0.0
2024-04-05,8.0,2.0,0.0,-2.0,-4.0,0.0,0.0
2024-04-08,7.0,2.0,0.0,0.0,-4.0,-4.0,0.0
2024-04-09,7.0,2.0,0.0,0.0,-4.0,-4.0,0.0
2024-04-10,7.0,2.0,0.0,0.0,-4.0,-4.0,0.0
2024-04-11,7.0,2.0,0.0,0.0,-4.0,-4.0,0.0
2024-04-12,7.0,2.0,0.0,0.0,-4.0,-4.0,0.0
2024-04-15,6.0,-2.0,0.0,0.0,-4.0,-3.0,0.0
2024-04-16,6.0,-2.0,0.0,0.0,-4.0,-3.0,0.0
2024-04-17,6.0,-2.0,0.0,0.0,-4.0,-3.0,0.0
2024-04-18,6.0,-2.0,0.0,0.0,-4.0,-3.0,0.0
2024-04-19,6.0,-2.0,0.0,0.0,-4.0,-3.0,0.0
2024-04-22,-7.0,2.0,0.0,0.0,0.0,-4.0,0.0
2024-04-23,-7.0,2.0,0.0,0.0,0.0,-4.0,0.0
2024-04-24,-7.0,2.0,0.0,0.0,0.0,-4.0,0.0
2024-04-25,-7.0,2.0,0.0,0.0,0.0,-4.0,0.0
2024-04-26,-7.0,2.0,0.0,0.0,0.0,-4.0,0.0
2024-04-29,-6.0,1.0,0.0,-1.0,0.0,-3.0,0.0
2024-04-30,-6.0,1.0,0.0,-1.0,0.0,-3.0,0.0
2024-05-01,-6.0,1.0,0.0,-1.0,0.0,-3.0,0.0
2024-05-02,-6.0,1.0,0.0,-1.0,0.0,-3.0,0.0
2024-05-03,-6.0,1.0,0.0,-1.0,0.0,-3.0,0.0
2024-05-06,-7.0,2.0,0.0,-1.0,0.0,-3.0,0.0
2024-05-07,-7.0,2.0,0.0,-1.0,0.0,-3.0,0.0
2024-05-08,-7.0,2.0,0.0,-1.0,0.0,-3.0,0.0
2024-05-09,-7.0,2.0,0.0,-1.0,0.0,-3.0,0.0
2024-05-10,-7.0,2.0,0.0,-1.0,0.0,-3.0,0.0
2024-05-13,-6.0,-2.0,0.0,1.0,2.0,-2.0,0.0
2024-05-14,-6.0,-2.0,0.0,1.0,2.0,-2.0,0.0
2024-05-15,-6.0,-2.0,0.0,1.0,2.0,-2.0,0.0
2024-05-16,-6.0,-2.0,0.0,1.0,2.0,-2.0,0.0
2024-05-17,-6.0,-2.0,0.0,1.0,2.0,-2.0,0.0
2024-05-20,0.0,0.0,0.0,2.0,3.0,-4.0,0.0
2024-05-21,0.0,0.0,0.0,2.0,3.0,-4.0,0.0
2024-05-22,0.0,0.0,0.0,2.0,3.0,-4.0,0.0
2024-05-23,0.0,0.0,0.0,2.0,3.0,-4.0,0.0
2024-05-24,0.0,0.0,0.0,2.0,3.0,-4.0,0.0
2024-05-27,7.0,-2.0,0.0,1.0,0.0,-3.0,0.0
2024-05-28,7.0,-2.0,0.0,1.0,0.0,-3.0,0.0
2024-05-29,7.0,-2.0,0.0,1.0,0.0,-3.0,0.0
2024-05-30,7.0,-2.0,0.0,1.0,0.0,-3.0,0.0
2024-05-31,7.0,-2.0,0.0,1.0,0.0,-3.0,0.0
2024-06-03,-9.0,-3.0,0.0,-1.0,-2.0,0.0,0.0
2024-06-04,-9.0,-3.0,0.0,-1.0,-2.0,0.0,0.0
2024-06-05,-9.0,-3.0,0.0,-1.0,-2.0,0.0,0.0
2024-06-06,-9.0,-3.0,0.0,-1.0,-2.0,0.0,0.0
2024-06-07,-9.0,-3.0,0.0,-1.0,-2.0,0.0,0.0
2024-06-10,-10.0,-3.0,0.0,1.0,0.0,0.0,0.0
2024-06-11,-10.0,-3.0,0.0,1.0,0.0,0.0,0.0
2024-06-12,-10.0,-3.0,0.0,1.0,0.0,0.0,0.0
2024-06-13,-10.0,-3.0,0.0,1.0,0.0,0.0,0.0
2024-06-14,-10.0,-3.0,0.0,1.0,0.0,0.0,0.0
2024-06-17,0.0,-3.0,0.0,0.0,0.0,4.0,0.0
2024-06-18,0.0,-3.0,0.0,0.0,0.0,4.0,0.0
2024-06-19,0.0,-3.0,0.0,0.0,0.0,4.0,0.0
2024-06-20,0.0,-3.0,0.0,0.0,0.0,4.0,0.0
2024-06-21,0.0,-3.0,0.0,0.0,0.0,4.0,0.0
2024-06-24,-8.0,-2.0,0.0,0.0,-2.0,-4.0,0.0
